"SAM","PEAKAREASPC1_common","PEAKAREASPC2_common","PEAKAREASPC3_common","PEAKAREASPC4_common","PEAKAREASPC5_common","PEAKAREASPC6_common","PEAKAREASPC7_common","PEAKAREASPC8_common","PEAKAREASPC9_common","PEAKAREASPC10_common","PeakAreas200PC1_common","PeakAreas200PC2_common","PeakAreas200PC3_common","PeakAreas200PC4_common","PeakAreas200PC5_common","PeakAreas200PC6_common","PeakAreas200PC7_common","PeakAreas200PC8_common","PeakAreas200PC9_common","PeakAreas200PC10_common","RelativeRatiosPC1_common","RelativeRatiosPC2_common","RelativeRatiosPC3_common","RelativeRatiosPC4_common","RelativeRatiosPC5_common","RelativeRatiosPC6_common","RelativeRatiosPC7_common","RelativeRatiosPC8_common","RelativeRatiosPC9_common","RelativeRatiosPC10_common","RelativeRatios200PC1_common","RelativeRatios200PC2_common","RelativeRatios200PC3_common","RelativeRatios200PC4_common","RelativeRatios200PC5_common","RelativeRatios200PC6_common","RelativeRatios200PC7_common","RelativeRatios200PC8_common","RelativeRatios200PC9_common","RelativeRatios200PC10_common"
"SAM001",0.111075674,0.034249583,-0.981725392,-0.066354435,3.772909755,0.908344519,-1.46667782,-3.883097769,-0.366748791,-1.528695737,-0.11892848,-0.165207928,-0.960808712,0.381346863,2.27604382,-0.161883403,0.42574649,-0.258035177,0.649776317,1.271710457,0.111075674,0.034249583,-0.981725392,-0.066354435,3.772909755,0.908344519,-1.46667782,-3.883097769,-0.366748791,-1.528695737,-0.11892848,-0.165207928,-0.960808712,0.381346863,2.27604382,-0.161883403,0.42574649,-0.258035177,0.649776317,1.271710457
"SAM002",-6.070192096,-1.946490674,1.872511754,3.220225247,0.163614129,0.571532706,-1.287037692,-2.680638356,-0.825936034,-6.124433142,3.717300226,1.244370533,-0.487801366,-0.606819149,-1.686104806,-2.905180459,1.449404207,0.038798231,0.665515893,1.225216608,-6.070192096,-1.946490674,1.872511754,3.220225247,0.163614129,0.571532706,-1.287037692,-2.680638356,-0.825936034,-6.124433142,3.717300226,1.244370533,-0.487801366,-0.606819149,-1.686104806,-2.905180459,1.449404207,0.038798231,0.665515893,1.225216608
"SAM003",-7.706056815,-3.941631279,2.489756287,1.680764378,1.077755124,2.223495001,0.24000265,1.930119718,0.186913056,-4.265179741,4.939104228,2.70180211,-1.207549118,-1.111672945,-1.45158562,0.867238585,0.33126725,-0.596686872,1.10517782,0.953140206,-7.706056815,-3.941631279,2.489756287,1.680764378,1.077755124,2.223495001,0.24000265,1.930119718,0.186913056,-4.265179741,4.939104228,2.70180211,-1.207549118,-1.111672945,-1.45158562,0.867238585,0.33126725,-0.596686872,1.10517782,0.953140206
"SAM004",-2.90084776,-7.702245587,5.766584062,-1.764776041,-0.936882584,2.802257841,-3.203512335,1.687344745,1.332194714,-0.87070096,0.081500051,2.761996868,-0.905163646,-1.052764558,-1.838243484,0.692518431,0.566133966,-0.20667721,1.28937459,0.10554656,-2.90084776,-7.702245587,5.766584062,-1.764776041,-0.936882584,2.802257841,-3.203512335,1.687344745,1.332194714,-0.87070096,0.081500051,2.761996868,-0.905163646,-1.052764558,-1.838243484,0.692518431,0.566133966,-0.20667721,1.28937459,0.10554656
"SAM005",-2.513538095,-5.843333825,4.300164624,0.410789481,-0.165287834,0.816666407,-1.312777288,0.524212275,0.843385709,-0.708765391,0.143257576,2.338089368,-0.482444626,-1.382715223,-1.58052052,-1.101942019,0.100662362,0.29045152,0.716563255,0.627576738,-2.513538095,-5.843333825,4.300164624,0.410789481,-0.165287834,0.816666407,-1.312777288,0.524212275,0.843385709,-0.708765391,0.143257576,2.338089368,-0.482444626,-1.382715223,-1.58052052,-1.101942019,0.100662362,0.29045152,0.716563255,0.627576738
"SAM006",-0.116435855,-6.647960315,4.422568643,0.965713841,-0.522419821,1.162819851,-1.99043936,0.195938371,1.804335862,0.109855031,-1.633104211,2.604736184,0.070960991,-1.060199533,-1.382840587,-0.736797604,1.121310147,-0.007048544,-0.003006069,0.140477363,-0.116435855,-6.647960315,4.422568643,0.965713841,-0.522419821,1.162819851,-1.99043936,0.195938371,1.804335862,0.109855031,-1.633104211,2.604736184,0.070960991,-1.060199533,-1.382840587,-0.736797604,1.121310147,-0.007048544,-0.003006069,0.140477363
"SAM007",0.728637297,-6.788504106,3.773046102,0.168065919,0.081606363,0.905465581,-1.979266225,-0.170969652,-0.535806347,-0.099194929,-2.83515274,2.770430786,0.20816263,-0.918912688,-1.164561909,-1.433062818,0.111894175,0.217520901,0.507319383,-0.468305636,0.728637297,-6.788504106,3.773046102,0.168065919,0.081606363,0.905465581,-1.979266225,-0.170969652,-0.535806347,-0.099194929,-2.83515274,2.770430786,0.20816263,-0.918912688,-1.164561909,-1.433062818,0.111894175,0.217520901,0.507319383,-0.468305636
"SAM008",0.846693971,-5.413716433,2.296199881,1.205504922,-0.718190306,-0.283907121,-0.345353331,-0.607387909,-0.274441131,-0.53390342,-2.746815827,2.214796373,-0.346384646,-0.879692077,-1.311223097,-1.016107235,-1.241705621,0.576003742,0.494583765,-0.109690861,0.846693971,-5.413716433,2.296199881,1.205504922,-0.718190306,-0.283907121,-0.345353331,-0.607387909,-0.274441131,-0.53390342,-2.746815827,2.214796373,-0.346384646,-0.879692077,-1.311223097,-1.016107235,-1.241705621,0.576003742,0.494583765,-0.109690861
"SAM009",-3.801653462,-7.227580812,6.837408736,0.748466229,-0.063379371,-1.747445838,-4.264976075,-4.543097998,-2.919147652,1.647692526,0.101706508,2.136319707,-1.704340098,0.064577848,-2.31685722,-2.007364104,0.75165945,-0.565865727,1.132039608,-0.515172113,-3.801653462,-7.227580812,6.837408736,0.748466229,-0.063379371,-1.747445838,-4.264976075,-4.543097998,-2.919147652,1.647692526,0.101706508,2.136319707,-1.704340098,0.064577848,-2.31685722,-2.007364104,0.75165945,-0.565865727,1.132039608,-0.515172113
"SAM010",-4.016772912,-5.973874314,2.555544139,3.455774571,1.031996235,2.591334372,-0.71430446,1.190496835,0.922622358,-1.45460219,1.048812073,2.745397305,0.632810167,-1.965657802,0.470744559,-0.606612223,0.400242907,0.730215273,1.051007246,-0.024369799,-4.016772912,-5.973874314,2.555544139,3.455774571,1.031996235,2.591334372,-0.71430446,1.190496835,0.922622358,-1.45460219,1.048812073,2.745397305,0.632810167,-1.965657802,0.470744559,-0.606612223,0.400242907,0.730215273,1.051007246,-0.024369799
