SAM,RelativeRatioRT1.2,RelativeRatioRT3.3,RelativeRatioRT3.52,RelativeRatioRT3.77,RelativeRatioRT4.05,RelativeRatioRT4.21,RelativeRatioRT4.42,RelativeRatioRT4.55,RelativeRatioRT4.6,RelativeRatioRT4.87,RelativeRatioRT4.98,RelativeRatioRT5.28,RelativeRatioRT5.53,RelativeRatioRT5.89,RelativeRatioRT6.37,RelativeRatioRT7.1,RelativeRatioRT7.28,RelativeRatioRT7.47,RelativeRatioRT7.58,RelativeRatioRT7.71,RelativeRatioRT7.83,RelativeRatioRT7.93,RelativeRatioRT8.11,RelativeRatioRT8.21,RelativeRatioRT8.3,RelativeRatioRT8.38,RelativeRatioRT8.51,RelativeRatioRT8.69,RelativeRatioRT8.81,RelativeRatioRT8.89,RelativeRatioRT11.64,RelativeRatioRT11.78
SAM002,0.004966607,0.005150726,0.010054069,0.006079397,0.004672831,0.005044824,0.005733497,0.003754577,0.005075181,0.005204758,0.006328301,0.00532213,0.004640923,,0.00538401,0.005352736,0.005224662,0.003769362,0.005880467,0.005384797,0.003352002,0.009202147,,0.006715983,0.003377485,0.006491708,,0.007586517,,0.001859872,0.00729763,
SAM003,,0.004787256,0.006054388,0.009295554,0.006516178,0.004146806,0.004771345,0.004251595,0.00648522,0.005813172,0.002187171,0.005137892,0.004295427,,,0.007931653,0.006219438,0.006909316,0.006998084,0.006687381,0.005704647,0.007098231,0.007947976,0.008962035,0.004550942,0.006787166,0.006053684,0.010080153,0.002926801,0.002334818,0.008027998,
SAM004,0.001697505,0.002958686,0.002891581,0.002598644,0.003346504,0.003143963,0.002845238,0.002528677,0.004391962,0.004071655,0.003436525,,0.001395923,,,0.004197816,0.003494296,0.003922142,0.004422485,0.003708478,0.003941719,0.004569787,0.007596879,0.002679022,0.003840772,0.006008637,,0.009031477,0.006536035,0.00372982,0.009127624,
SAM005,0.002641597,0.003657225,0.004301504,0.001871116,0.002662701,0.004564194,0.003989709,0.002617635,0.005146648,0.004356261,0.003853621,0.003488872,0.002396402,,,0.003709194,0.003087186,0.003443656,0.004130448,0.003610391,0.003296574,0.003837403,0.006404294,0.002310031,0.00317421,0.004741598,,0.005900881,,0.002723115,0.008955007,
SAM006,0.002546071,0.003126022,0.002099417,0.002327482,0.001842674,0.003541585,0.002256251,0.002501835,0.006914032,0.002882013,0.002504915,0.002616244,0.002224356,,,0.002612533,0.002443664,0.003001229,0.003319021,0.003169013,0.002658014,0.003664874,,0.003171219,0.002737872,0.003476667,,0.003258573,0.001592733,0.001435347,0.008929003,
SAM007,0.00427512,0.001185271,,0.00112571,0.001128685,0.001360669,0.004131399,0.001312961,0.002971509,0.002436667,0.003302155,0.002854091,,,,0.001289296,0.001553187,0.001445575,0.002765965,0.00253957,0.001531721,0.002628778,0.003380347,,0.002288464,0.00239551,,0.004735808,,0.001611762,0.009049709,
SAM008,0.00270525,0.002007439,0.00390876,0.001700363,0.000809239,0.001511516,0.002233548,0.001371792,0.003863033,0.001370925,0.003142589,0.001941373,0.002308668,,,0.00127775,0.001787287,0.001730046,0.002612695,0.00256177,0.004726124,,0.005754379,0.001281196,0.003095628,,0.001549028,0.0044612,,0.002538304,0.007554511,
SAM009,0.004146253,0.002364607,0.007245724,0.001922569,0.000963382,0.0012049,0.002946671,0.00209319,0.005680357,0.003293872,0.006206317,0.003886189,,,,0.001639547,0.002434015,0.002414492,0.00548644,0.005550057,0.003739648,0.006586073,,0.004693083,0.004457376,0.005175739,0.003790274,0.005269354,0.002519665,0.001613443,0.008371974,
SAM010,0.003532499,0.004924206,0.003734155,0.002979834,0.007866168,0.004136705,0.003361188,0.004618585,0.006844569,0.002279272,0.0039492,0.002110537,0.003722093,,,0.006099342,0.004824149,0.005288694,0.005153591,0.005283595,0.003646005,0.003843409,0.008384476,,0.001539397,0.002595143,0.002595107,0.002141593,0.001196005,,0.008070308,
SAM011,0.005845371,0.003429177,0.009778014,0.004422043,0.002383972,0.003140551,0.004168494,0.003398538,0.008247635,0.004769202,0.00749753,0.004902866,0.004557342,0.006345169,,0.003518253,0.003823835,0.004794368,0.006479774,0.006823775,0.004116341,0.005354298,0.008621139,0.010422868,,0.006816381,0.00433635,0.006504587,0.001980003,0.001689736,0.009231127,
SAM012,0.007612789,0.003586114,0.002541916,0.00146007,0.00373324,0.002293187,0.00474962,0.002675603,0.003978194,0.002694246,0.003467252,0.003528517,0.003853173,0.003823331,,0.004166296,0.003223068,0.003568001,0.008515859,0.008317942,0.003615722,0.007566942,0.015322967,,,,0.002207385,0.004762298,0.002489054,0.002295261,0.009370288,
SAM013,0.003933573,0.002948001,,0.002035403,0.005576166,0.0021099,0.004963626,0.003271323,0.006042526,0.002413452,0.001565319,0.002179528,0.003395096,0.002454759,,0.003554545,0.002918969,0.002795779,0.003197955,0.003097629,0.003488201,,0.004660003,0.001175973,,0.003193867,,0.001493794,0.000898515,0.001335939,0.008183705,
SAM014,0.004572483,0.003295901,0.005776739,0.00539954,0.006131665,0.002157211,0.003558317,0.003436023,0.004101991,0.003383493,0.0038383,0.004044482,0.003436667,,,0.004768893,0.004497858,0.0027085,0.003850633,0.003712269,0.002764258,0.003322894,0.005377071,,0.002844922,0.00419255,,0.004669264,,0.00122709,0.007986119,
SAM015,0.003750919,0.005073557,0.003437608,0.006046689,0.007388065,0.00345495,0.004099626,0.004393463,0.00630392,0.005147969,0.004476489,0.004051098,0.002585685,0.003111189,,0.006374999,0.004671572,0.004099949,0.006788636,0.007050782,0.003645397,0.004672272,0.00644336,,0.002816555,0.004816408,,0.003908953,0.001182497,0.001150705,0.008053622,
SAM016,0.002780653,0.002589009,0.002619676,0.001369125,0.001891425,0.001378847,0.003684953,0.002831971,0.00416652,0.001772596,0.002527643,0.002144482,0.003293279,,,0.003031801,0.003039625,0.002321216,0.004275368,0.004440484,0.002664419,0.004230625,0.006252688,0.002234721,0.003073749,0.004596673,,0.003832425,0.002652302,0.001471291,0.008899946,
SAM017,0.002700908,0.00259681,0.005562028,0.002291062,0.001494458,0.002296693,0.00443464,0.003039035,0.006266664,0.006425602,0.006088372,0.00523444,0.006357059,,0.00532985,0.001589295,0.002779288,0.001873006,0.003963448,0.003555856,0.005929368,,0.005223156,,0.0072663,,,0.011565646,,,0.007645697,
SAM018,0.003112538,0.003408852,0.001652447,0.001648916,0.001978147,0.00435497,0.003421227,0.003519977,0.010572857,0.003897304,0.001537417,0.002395622,0.001539034,,,0.001765798,0.002462717,0.004126914,0.005158989,0.005500769,0.004526754,0.001228486,0.005931665,,0.00148929,,0.001598472,0.003632807,,,0.007866189,
SAM019,0.002905637,0.005089821,,0.004476151,0.006724848,0.008810084,0.005211636,0.00618549,0.004800547,0.004036632,0.005810356,0.006860182,0.00580241,,,0.005445352,0.004860143,0.004391139,0.004476157,0.003885032,0.004396588,0.003923467,0.006666251,0.002728834,0.003325322,0.003153458,0.002445351,0.005827459,0.003078931,0.002864947,0.008612435,
SAM021,,0.003078283,0.004236321,0.002182593,0.002305317,0.00338959,0.002937181,0.002487762,0.003817724,0.002037029,0.003092239,0.003020476,0.002707096,,,0.003351255,0.002798634,0.003612666,0.004875305,0.004204388,0.004137842,0.006233894,0.008275955,0.010115265,,0.00411518,0.003985167,0.002932055,0.002027788,0.001153487,0.007519007,
SAM023,0.003237927,0.002774683,,0.004795918,0.006092325,0.001899708,0.002756766,0.004405255,0.008652814,0.003355835,0.003221724,0.004546735,,,0.002327872,0.00355137,0.003522401,0.002326034,0.005106684,0.004030251,0.002612887,0.00425505,0.004302439,0.004033476,0.003024871,0.00529171,,0.006118219,0.004090465,0.002134969,0.009364162,
SAM024,0.008373348,0.002479948,0.005654713,0.005493214,0.002724735,0.001837175,0.004605421,0.003923284,0.01041997,0.003632545,0.00547099,0.004474725,0.005602316,,0.003831238,0.002697233,0.003162718,0.00277671,0.00439267,0.004217605,0.003559794,0.004555525,,0.006550204,0.003469494,0.005830432,,0.004945642,,0.002431061,0.009053693,
SAM025,0.006012843,0.002848314,,0.002654564,0.002742369,0.002001964,0.005738203,0.002041692,0.003565278,0.002409356,0.005586239,0.003303402,0.00470708,,,0.002964244,0.002877931,0.00287694,0.003766288,0.003823359,0.003437857,0.004402727,,0.005385128,0.003390091,0.006331334,,0.005731237,,0.001227301,0.007799729,
SAM026,0.002386437,0.003721819,0.002593722,0.004764878,0.00879961,0.003929237,0.003638645,0.00589177,0.004097041,0.003380763,0.002936916,0.003778831,,,0.002262853,0.005133015,0.003809192,0.002745887,0.004971359,0.0038805,,0.003969809,,0.003288523,0.003218359,0.00532228,,0.006608634,0.005095571,0.004167937,0.007833455,
SAM028,0.004322511,0.004246026,,0.004028577,0.007476509,0.007470774,0.003593994,0.005262635,0.005535848,0.004613613,0.004188905,0.00366379,0.003571053,,0.001905959,0.004053036,0.003472839,0.004645672,0.004356175,0.003581596,0.004707178,0.003745791,,0.005209205,0.002600225,0.003984472,,0.004611141,,0.004396872,0.007856428,
SAM029,0.005009238,0.004434189,0.003862919,0.002268384,0.00507722,0.00712142,0.005539976,0.004629505,0.014833704,0.006352827,0.005568415,0.007184486,0.007028889,0.006865184,0.004406612,0.006217607,0.0041583,0.010864703,0.021364575,0.020707129,0.009740523,0.019038816,0.022858621,0.027405122,,,,0.007632907,,0.012449228,0.010074798,
SAM030,0.004334542,0.005481645,,0.009613102,0.007501243,0.00765343,0.002234304,0.005593153,0.006585848,0.003954909,0.004592719,0.005368292,,,0.002598074,0.00662795,0.005320161,0.007989183,0.007458641,0.004973129,0.005289031,0.006855844,0.009276314,0.008061415,0.004349119,0.007138595,,0.006113129,0.005211894,0.003493148,0.008632481,
