SAM,AREA_Dry,AREA_logdiff,AREA_Wet,Oilpct_Dry,Oilpct_logdiff,Oilpct_Wet,StemDiametermm_Wet,StemHeightmm_Wet,RootingDepthmm_Wet,RootBiomassmg_Wet,TRLmm_Wet,SRLmmg_Wet,RootBiomassAllocation_Wet,TRLAllocation_Wet,StemDiametermm_Dry,StemHeightmm_Dry,RootingDepthmm_Dry,RootBiomassmg_Dry,TRLmm_Dry,SRLmmg_Dry,RootBiomassAllocation_Dry,TRLAllocation_Dry,StemDiametermm_logdiff,StemHeightmm_logdiff,RootingDepthmm_logdiff,RootBiomassmg_logdiff,TRLmm_logdiff,SRLmmg_logdiff,RootBiomassAllocation_logdiff,TRLAllocation_logdiff
SAM001,11026.28,-0.023113141,11284.1,38.83273536,-0.031306464,40.06768101,2.575,44.381,129.875,6.55,1249.969,13.034,0.761,0.394,2.242,22.9,107.11,4.15,473.67,12.733,0.706,0.382,0.138481209,0.661674539,0.192716106,0.456356715,0.970363153,0.023364279,0.07501812,0.030930301
SAM002,5009.24,-0.451693166,7869.365,36.08159674,0.013935777,35.58225906,2.766,25.49,106.927,8.4,1514.032,13.201,0.654,0.387,2.82,36.222,126.572,16.5,3164.027,12.912,0.557,0.246,-0.019334652,-0.351380451,-0.168664958,-0.675128675,-0.737069293,0.022135473,0.160542112,0.453093157
SAM003,4146.585,-0.069218011,4443.77,12.03134452,0.071103086,11.20558374,2.252,39.769,98.215,7,859.721,13.094,0.616,0.367,2.344,51.717,123.198,6.8,1266.968,13.265,0.73,0.25,-0.040040161,-0.262698833,-0.226633864,0.028987537,-0.387774005,-0.012974878,-0.169797571,0.38390093
SAM004,6852.74,-1.006801147,18754.8,34.34804863,0.018052101,33.73355731,2.581,39.535,136.927,6.95,1792.673,13.296,0.608,0.297,2.757,31.229,125.451,11.15,1718.886,12.831,0.545,0.25,-0.065966211,0.235839205,0.087532693,-0.472697838,0.042031396,0.03559912,0.109389087,0.172271221
SAM005,3921.345,-1.077220168,11515.05,29.29094092,0.079633981,27.04884494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAM006,5647.32,-0.755848299,12025.5,22.51233132,0.068098412,21.03031159,2.624,48.404,72.988,8.467,1169.568,11.344,0.829,0.568,2.514,48.696,95.565,7.733,1290.491,12.666,0.606,0.265,0.042824761,-0.006014436,-0.2695116,0.090679369,-0.098388316,-0.110232268,0.313340169,0.762391593
SAM007,6920.26,-0.707008239,14033.7,39.0864452,-0.093057921,42.89836261,2.805,60.641,156.324,12.5,2862.647,12.616,0.511,0.223,2.391,66.561,125.013,14.9,2774.18,12.848,0.452,0.257,0.15969185,-0.093147588,0.223513045,-0.175632569,0.031391513,-0.018222308,0.12268741,-0.141904313
SAM008,12529.37,0.325654436,9046.89,5.355668523,0.141998374,4.646699409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAM009,4487.565,-0.731212304,9323.355,32.07034903,0.065265155,30.04411322,2.452,33.796,74.02,9.3,1145.93,12.887,0.817,0.513,2.354,31.323,73.898,9.667,1005.297,13.43,0.889,0.448,0.040788009,0.0759898,0.001649563,-0.038703623,0.130933514,-0.041271959,-0.084458141,0.135482613
SAM010,5207.955,-0.103334542,5774.905,32.7306342,0.031040724,31.73025815,1.822,18.459,74.686,3.25,577.387,12.793,0.818,0.487,1.552,18.54,96.11,5.15,724.89,13.166,0.79,0.4,0.160390377,-0.004378504,-0.252200711,-0.460341718,-0.227507167,-0.028739603,0.034829391,0.196799576
SAM011,3128.01,-0.713386876,6383.93,31.36180422,-0.010881966,31.70494594,2.557,36.011,107.655,11.133,1365.096,11.984,0.756,0.452,2.469,37.615,131.634,11.65,2011.522,12.898,0.576,0.249,0.035021486,-0.04357846,-0.201093675,-0.045392509,-0.387666894,-0.073499834,0.271933715,0.596229283
SAM012,6988.815,-0.028008044,7187.325,35.07029464,0.195258494,28.84959548,2.395,22.782,90.686,3.367,754.203,12.885,0.798,0.393,2.184,22.696,105.565,4.767,917.587,13.333,0.75,0.362,0.092225173,0.003782053,-0.151923887,-0.347695036,-0.196085836,-0.034178321,0.062035391,0.0821654
SAM013,4903.705,-0.33915654,6883.64,31.28421707,-0.137952604,35.91181419,2.051,20.231,82.321,2.933,951.321,13.558,0.851,0.464,2.047,19.051,106.606,3.5,1204.899,14.162,0.691,0.373,0.001952172,0.060096488,-0.258513556,-0.176737179,-0.23629948,-0.043585542,0.208272305,0.218306133
SAM014,5655.56,-0.629537579,10614.03,31.81089987,-0.062014044,33.84607493,2.496,42.23,105.927,8.6,1357.949,13.074,0.691,0.359,2.187,32.462,98.239,5.333,859.576,13.151,0.773,0.404,0.132158709,0.263060694,0.075346892,0.477848272,0.457291508,-0.005872276,-0.112139225,-0.118092489
SAM015,5837.775,0.283052055,4398.65,29.99180183,-0.070120046,32.17031451,2.117,32.171,64.988,5.1,726.067,12.918,0.773,0.468,1.717,30.335,83.11,5.15,557.349,13.28,0.87,0.466,0.20942141,0.058763264,-0.245962394,-0.009756175,0.264450682,-0.027637456,-0.118214163,0.004282662
SAM016,5829.34,-0.426154202,8926.8,30.13794913,-0.015435071,30.6067391,1.781,50.378,98.988,4.567,1439.714,13.034,0.79,0.354,1.768,30.068,79.645,2.15,601.148,13.477,0.778,0.489,0.00732604,0.516093089,0.217419371,0.753388692,0.873358601,-0.033423201,0.015306421,-0.323065576
SAM017,12142.5,NA,NA,30.50770081,0.098733461,27.63949356,2.464,29.518,81.655,6.633,727.999,12.274,0.843,0.558,2.134,36.096,83.565,7.633,915.391,12.366,0.713,0.268,0.143787893,-0.201181809,-0.023121718,-0.140423762,-0.229051622,-0.007467567,0.167485538,0.733371982
SAM018,NA,NA,12323.65,35.13871111,-0.063705189,37.45007051,2.685,45.438,128.884,9.15,1836.944,13.111,0.622,0.349,2.622,35.844,132.451,10.45,2585.128,13.182,0.51,0.176,0.023743343,0.23717257,-0.027299991,-0.132848099,-0.341671702,-0.00540069,0.198529367,0.684587927
SAM020,5546.87,NA,NA,33.98567547,0.01465107,33.49137879,2.568,33.686,122.209,8.5,1419.491,12.197,0.68,0.322,2.654,34.807,95.198,11.467,1388.531,13.217,0.813,0.461,-0.03294055,-0.032736195,0.249773761,-0.299407182,0.022052003,-0.08031386,-0.178638311,-0.358846497
SAM021,NA,NA,5321.47,22.35234147,-0.00179335,22.39246302,2.618,50.036,107.686,11.1,1724.277,12.412,0.801,0.37,2.303,57.318,128.606,9.867,2258.158,13.192,0.593,0.248,0.128198047,-0.135871964,-0.177533882,0.117749252,-0.269741605,-0.060946839,0.300666548,0.400074259
SAM022,5182.905,-0.367983437,7488.355,38.61779187,0.041741865,37.03899344,2.224,52.694,95.655,5.8,1184.709,12.713,0.773,0.433,1.948,40.757,109.531,5.833,1291.69,13.353,0.754,0.417,0.132504171,0.256873993,-0.135459646,-0.00567353,-0.086454264,-0.049115987,0.024886681,0.037651506
SAM023,7266.38,-0.342359561,10233,37.05154249,0.078548975,34.25254979,1.775,27.588,120.884,5.7,1255.303,12.253,0.633,0.317,1.827,38.44,127.06,6.15,1305.157,13.272,0.672,0.294,-0.028874854,-0.331717689,-0.049828008,-0.075985907,-0.038946362,-0.079885748,-0.059787918,0.075322007
SAM024,6037.77,0.061075583,5680.045,30.5406634,0.054022029,28.93456765,2.192,46.134,144.209,5.6,2738.786,12.29,0.403,0.192,1.837,38.189,123.451,5.35,1497.478,13.389,0.614,0.294,0.176680563,0.189002689,0.15541932,0.045670037,0.603732397,-0.085647551,-0.421058366,-0.426084395
SAM025,7136.385,0.10584742,6419.62,39.48806238,-0.01719137,40.17278506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAM026,7054.89,-0.03330505,7293.81,24.17941777,-0.051234011,25.45050988,2.286,21.185,118.927,2.35,872.847,13.201,0.85,0.456,2.243,31.064,102.606,7.733,1381.724,13.136,0.69,0.315,0.01898931,-0.382756208,0.147613449,-1.191081557,-0.459326991,0.004936032,0.208544752,0.369920171
SAM027,4875.94,-0.346018667,6891.795,21.21309212,0.102768328,19.14133659,2.78,43.441,81.375,5.4,773.034,12.47,0.764,0.476,2.904,35.926,108.565,13.033,1354.797,12.294,0.597,0.353,-0.043638169,0.189942428,-0.288280971,-0.881085649,-0.561083874,0.014214421,0.246650676,0.298949797
