SAM,MeanColonization,MinimumColonization,MaximumColonization,RangeofColonization,LSMeans,ArithmeticMean,LSmeanXY,LSmeanJustX
1,17.66666667,0,37,37,17.02569,17.6667,16.60906,17.02007
2,36.5,7,63,56,36.74944,36.5,36.95949,36.81738
3,27,1,56,55,26.83113,27,27.21723,27.17967
4,28.33333333,15,37,22,30.9183,28.3333,28.80603,28.4212
5,15,10,18,8,19.77044,15,15.56001,15.5469
6,9,0,20,20,9.07554,9,9.71992,9.66166
7,27.88888889,1,60,59,29.33904,27.8889,27.78883,27.72428
8,40.75,14,73,59,39.9981,40.75,40.86114,40.58539
9,24,11,41,30,21.59362,24,23.58123,23.62882
10,45,35,55,20,46.67597,45,46.40415,45.86823
11,22.5,0,56,56,22.23556,22.5,22.81328,22.81738
12,44.75,23,84,61,46.71759,44.75,45.01597,44.92967
13,34,8,68,60,33.66197,34,33.96208,34.11081
14,46,0,70,70,47.66459,46,46.02179,45.83539
15,30.33333333,8,73,65,31.42781,30.3333,29.75862,29.59493
16,11,4,17,13,11.68942,11,11.44182,11.45509
17,52.33333333,24,80,56,52.11038,52.3333,51.38849,51.77854
18,25.25,2,41,39,24.95104,25.25,25.16762,24.94768
19,26.75,17,45,28,27.73884,26.75,27.19517,27.27395
20,32.5,13,52,39,31.85869,32.5,32.32827,32.19768
21,32.33333333,5,61,56,29.48933,32.3333,31.71292,31.82445
22,25,3,44,41,27.54244,25,24.95538,24.9731
23,46.75,13,94,81,47.95979,46.75,46.78183,46.79196
24,10,4,20,16,9.7764,10,10.48721,10.38624
25,34.75,0,63,63,35.28296,34.75,33.95566,34.17226
26,30.75,0,48,48,32.33999,30.75,30.60456,30.65425
27,19,4,44,40,18.37067,19,18.9764,18.90425
28,33,24,41,17,31.3948,33,33.27409,33.17967
29,56.33333333,48,70,22,56.69225,56.3333,56.4512,56.69662
30,56.32142857,14.28571429,82,67.71428571,55.54996,56.3214,55.90601,56.01911
31,31.75,10,75,65,32.00253,31.75,31.91657,31.7231
32,37.25,0,77,77,37.14327,37.25,37.30955,37.36081
33,42.125,12.5,69,56.5,41.1822,42.125,41.12232,41.27183
34,32,1,57,56,33.11077,32,32.34912,32.38624
35,58,36,74,38,59.33829,58,58.61717,58.38624
36,34.33333333,15,50,35,36.07583,34.3333,35.18386,35.06385
37,18.66666667,0,52,52,18.57984,18.6667,16.90822,17.1938
38,48.33333333,16,74,58,49.79411,48.3333,47.4662,47.59493
39,40.11111111,16,78,62,39.47363,40.1111,39.92983,39.9465
40,48.66666667,17,82,65,45.64849,48.6667,47.45486,47.74464
41,33.5,17,45,28,33.31177,33.5,33.59682,33.54196
42,35.75,0,74,74,36.33043,35.75,35.97201,35.86081
43,44.66666667,34,64,30,45.23636,44.6667,44.25251,44.11188
44,38,29,55,26,39.94655,38,38.19367,38.36329
45,44,38,56,18,44.03227,44,43.58327,43.16979
46,34,0,81,81,33.07584,34,33.09337,33.28454
47,47,13,89,76,46.11637,47,46.0048,46.07798
48,49.66666667,28,74,46,49.38847,49.6667,48.75621,48.92826
49,49.25,30,68,38,48.25155,49.25,49.02333,49.15425
50,20.5,2,51,49,21.15186,20.5,19.94457,19.99111
51,45,12,73,61,45.286,45,45.6062,45.66166
52,30.97222222,4,55,51,30.13103,30.9722,31.03462,30.80761
53,36.25,17,78,61,35.4899,36.25,36.16142,36.15425
54,41.5,16,79,63,41.37671,41.5,41.25659,41.05997
55,47,13,89,76,48.35161,47,46.57646,46.69768
56,31.66666667,17,52,35,35.29767,31.6667,32.70577,32.48899
57,14.25,0,30,30,13.49972,14.25,14.21543,14.42967
58,58.33333333,30,74,44,56.31418,58.3333,56.94121,57.04408
59,29.25,11,57,46,30.62409,29.25,29.73051,29.49853
60,23.75,3,45,42,22.53054,23.75,23.53765,23.44768
61,68,65,71,6,70.08983,68,69.01711,68.59281
62,15,0,33,33,14.85748,15,15.09824,14.90425
63,41.25,10,100,90,41.82401,41.25,42.42722,42.46251
64,34.75,10,94,84,35.2941,34.75,34.5539,34.44768
65,57.5,31,77,46,56.95576,57.5,57.67997,57.74853
66,37.16666667,14,88,74,37.10262,37.1667,37.5626,37.34634
67,36,3,69,66,30.96859,36,34.15775,34.25171
68,26,16,50,34,27.5341,26,26.99994,27.0748
69,40.75,0,63,63,41.31515,40.75,40.59166,40.7231
70,36.25,15,68,53,38.28893,36.25,36.591,36.63624
71,48.66666667,5,81,76,48.28352,48.6667,49.10051,48.84634
72,13.75,0,28,28,13.38122,13.75,14.06136,13.86081
73,18,0,27,27,21.48806,18,17.65786,17.81244
74,40.33333333,32,49,17,41.71573,40.3333,40.51808,40.513
75,40.75,27,49,22,42.2392,40.75,40.82245,40.79196
76,4.666666667,0,8,8,5.55093,4.6667,4.64496,4.3873
77,38.5,12,50,38,41.33758,38.5,39.36805,39.36823
78,0,0,0,0,0,0,-0.84357,-0.92202
79,36,0,67,67,35.19572,36,36.1618,36.04196
80,30.75,0,65,65,30.46796,30.75,30.92327,30.86081
81,20,1,43,42,20.825,20,20.05428,19.83539
82,28,5,59,54,27.32835,28,27.59271,27.69768
83,31.5,12,51,39,31.14885,31.5,30.81888,30.57798
84,39.25,6,55,49,38.01967,39.25,39.24457,39.36081
86,11.63888889,0,25.55555556,25.55555556,12.43504,11.6389,11.78637,11.88742
87,7,1,10,9,7.03484,7,6.26986,6.62882
88,28.5,27,30,3,28.81183,28.5,28.31344,28.05997
89,17,0,49,49,14.81652,17,17.50775,17.36329
90,46.5,11,86,75,48.51664,46.5,47.49659,47.50594
91,19.5,0,50,50,18.57369,19.5,19.55478,19.67967
92,26.25,0,63,63,26.71941,26.25,26.73913,26.84281
93,17,7,44,37,16.8827,17,17.05813,17.24853
94,11.66666667,5,23,18,12.57151,11.6667,11.70615,11.75453
95,17,8,23,15,19.29417,17,16.7464,16.62882
96,26.66666667,10,46,36,28.56856,26.6667,27.94281,28.13165
97,35.25,3,50,47,34.66707,35.25,35.44814,35.70509
98,25.52777778,0,46,46,2.56E+01,25.5278,25.51037,25.22546
99,20,20,20,0,18.20596,20,17.65984,17.70086
100,57,25,77,52,57.54439,57,56.69353,56.76654
101,59,24,80,56,57.91183,59,59.40741,59.24853
102,32.5,0,69,69,30.56622,32.5,31.68079,31.57798
103,14.5,5,36,31,15.35483,14.5,15.62656,15.50594
104,40.33333333,18,68,50,41.60564,40.3333,39.06035,39.04408
105,29,14,48,34,28.66921,29,29.5068,29.45509
106,18.5,9,34,25,17.93595,18.5,19.45933,19.5748
107,35.66666667,26,55,29,36.54425,35.6667,35.25887,35.02007
108,15.25,0,36,36,14.13281,15.25,15.14852,15.2231
109,27.25,10,45,35,26.65944,27.25,27.50927,27.29196
110,34,19,60,41,33.44997,34,33.58601,33.55997
111,18.03703704,8,25,17,21.76394,18.037,18.59258,18.49213
112,12,2,30,28,9.80626,12,11.25647,11.3534
113,39,38,40,2,37.60578,39,38.77861,39.17967
114,34.75,11,60,49,35.22764,34.75,34.42536,34.30997
115,48.5,30,60,30,47.95342,48.5,47.86477,47.8534
116,26.75,13,40,27,25.90852,26.75,25.98623,25.96569
117,52.5,34,86,52,51.99117,52.5,52.33161,52.26654
118,23,23,23,0,23.15718,23,25.41723,25.65848
119,47.33333333,20,79,59,46.4114,47.3333,46.76119,46.87035
120,39,22,54,32,34.39286,39,37.82705,37.98617
121,33.75,20,51,31,33.93889,33.75,33.96246,33.99853
122,22.77777778,0,50,50,24.98411,22.7778,23.51252,23.57715
123,42,22,67,45,40.04106,42,41.38007,41.44521
124,26.08333333,6,52,46,25.50695,26.0833,26.94184,27.08927
125,37,25,50,25,37.13975,37,37.45329,37.52395
